iter	Passed	Remaining
0	1	111
1	2	110
2	3	107
3	4	97
4	5	97
5	5	92
6	6	89
7	7	86
8	8	86
9	9	83
10	10	81
11	12	89
12	13	87
13	13	85
14	14	83
15	15	81
16	16	79
17	17	78
18	18	77
19	18	75
20	19	74
21	20	74
22	21	72
23	22	71
24	23	70
25	24	69
26	25	67
27	26	67
28	27	66
29	27	65
30	29	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	54
41	38	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	48
47	43	47
48	44	46
49	45	45
50	45	44
51	47	43
52	47	42
53	48	41
54	49	40
55	50	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	56	34
62	57	33
63	58	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	74	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	91	1
98	92	0
99	92	0
