iter	Passed	Remaining
0	143	143336
1	144	72275
2	146	48532
3	147	36765
4	149	29673
5	152	25289
6	154	21967
7	156	19416
8	158	17406
9	179	17736
10	180	16220
11	186	15396
12	188	14305
13	189	13358
14	190	12538
15	192	11819
16	193	11182
17	194	10616
18	196	10119
19	200	9815
20	202	9436
21	203	9061
22	205	8712
23	206	8390
24	207	8092
25	208	7819
26	209	7564
27	211	7328
28	216	7265
29	235	7600
30	236	7395
31	237	7192
32	238	7002
33	240	6822
34	241	6652
35	242	6502
36	247	6448
37	249	6326
38	251	6192
39	252	6064
40	253	5937
41	255	5819
42	257	5740
43	266	5787
44	267	5678
45	268	5575
46	270	5480
47	271	5384
48	273	5306
49	319	6074
50	321	5989
51	323	5890
52	324	5797
53	326	5719
54	327	5631
55	328	5545
56	330	5461
57	335	5443
58	337	5378
59	338	5305
60	339	5232
61	341	5160
62	342	5091
63	343	5023
64	344	4958
65	345	4894
66	351	4893
67	353	4838
68	354	4780
69	384	5112
70	386	5052
71	387	4996
72	388	4938
73	390	4881
74	391	4825
75	392	4771
76	393	4717
77	398	4706
78	399	4657
79	400	4607
80	401	4558
81	403	4512
82	403	4458
83	404	4412
84	406	4370
85	407	4328
86	408	4287
87	409	4247
88	419	4290
89	420	4249
90	431	4310
91	451	4456
92	452	4416
93	454	4376
94	456	4348
95	498	4690
96	499	4648
97	504	4642
98	505	4601
99	509	4589
100	512	4557
101	513	4518
102	514	4481
103	515	4443
104	517	4406
105	518	4375
106	519	4339
107	521	4304
108	526	4306
109	528	4278
110	532	4264
111	533	4231
112	595	4674
113	597	4641
114	598	4608
115	600	4573
116	601	4536
117	602	4501
118	603	4466
119	609	4472
120	611	4439
121	612	4405
122	613	4372
123	614	4340
124	617	4325
125	619	4295
126	623	4282
127	647	4411
128	648	4380
129	652	4364
130	657	4364
131	659	4337
132	660	4307
133	675	4365
134	676	4336
135	678	4307
136	679	4278
137	680	4250
138	681	4222
139	682	4195
140	684	4168
141	687	4154
142	688	4128
143	690	4102
144	691	4076
145	692	4050
146	693	4024
147	694	4000
148	696	3975
149	697	3952
150	698	3928
151	703	3927
152	706	3909
153	707	3886
154	709	3865
155	710	3842
156	712	3823
157	713	3800
158	714	3778
159	718	3771
160	719	3748
161	720	3727
162	721	3706
163	723	3685
164	724	3665
165	725	3644
166	726	3624
167	727	3604
168	729	3585
169	730	3565
170	736	3570
171	737	3551
172	739	3532
173	740	3514
174	742	3499
175	743	3480
176	744	3462
177	757	3500
178	759	3482
179	760	3464
180	761	3446
181	762	3428
182	772	3450
183	774	3433
184	775	3415
185	776	3397
186	777	3381
187	789	3409
188	790	3392
189	791	3375
190	792	3358
191	794	3341
192	801	3351
193	802	3335
194	804	3319
195	805	3305
196	807	3290
197	808	3274
198	809	3258
199	814	3258
200	815	3243
201	817	3227
202	818	3213
203	828	3230
204	829	3216
205	830	3201
206	831	3186
207	833	3172
208	834	3157
209	838	3153
210	839	3140
211	841	3126
212	842	3112
213	843	3098
214	844	3084
215	847	3074
216	848	3061
217	849	3047
218	858	3059
219	859	3046
220	860	3033
221	861	3019
222	865	3014
223	866	3001
224	871	3000
225	872	2987
226	873	2974
227	875	2963
228	876	2950
229	877	2937
230	878	2925
231	879	2912
232	881	2900
233	888	2909
234	890	2897
235	891	2885
236	892	2873
237	894	2862
238	895	2850
239	896	2838
240	897	2826
241	902	2828
242	904	2817
243	905	2805
244	906	2794
245	909	2786
246	910	2774
247	911	2763
248	912	2753
249	919	2758
250	920	2747
251	922	2737
252	923	2725
253	924	2714
254	925	2704
255	926	2693
256	928	2684
257	932	2682
258	934	2672
259	935	2662
260	936	2652
261	937	2641
262	939	2631
263	940	2621
264	941	2612
265	943	2602
266	944	2592
267	954	2605
268	955	2596
269	956	2586
270	957	2576
271	959	2567
272	963	2564
273	964	2556
274	966	2547
275	967	2538
276	969	2531
277	970	2521
278	972	2512
